session_id,array,n_present,n_missing,missing_channels
20230607T115959.A_Curius.B_VC.SCP_01,A1,30,2,"005,020"
20230607T115959.A_Curius.B_VC.SCP_01,A2,27,5,"033,034,035,050,056"
20230607T115959.A_Curius.B_VC.SCP_01,A3,31,1,086
20230607T115959.A_Curius.B_VC.SCP_01,A4,28,4,"103,113,115,128"
20230607T115959.A_Curius.B_VC.SCP_01,A5,26,6,"131,139,140,144,149,154"
20230609T101610.A_Curius.B_VC.SCP_01,A1,26,6,"002,003,005,007,020,021"
20230609T101610.A_Curius.B_VC.SCP_01,A2,30,2,"035,061"
20230609T101610.A_Curius.B_VC.SCP_01,A3,30,2,"067,091"
20230609T101610.A_Curius.B_VC.SCP_01,A4,28,4,"113,115,117,120"
20230609T101610.A_Curius.B_VC.SCP_01,A5,27,5,"131,140,154,156,159"
20230614T114327.A_Curius.B_VC.SCP_01,A1,27,5,"005,007,016,024,025"
20230614T114327.A_Curius.B_VC.SCP_01,A2,31,1,035
20230614T114327.A_Curius.B_VC.SCP_01,A3,30,2,"092,096"
20230614T114327.A_Curius.B_VC.SCP_01,A4,30,2,"102,115"
20230614T114327.A_Curius.B_VC.SCP_01,A5,31,1,148
20230619T102732.A_Curius.B_VC.SCP_01,A1,28,4,"005,007,016,025"
20230619T102732.A_Curius.B_VC.SCP_01,A2,28,4,"035,036,054,056"
20230619T102732.A_Curius.B_VC.SCP_01,A3,31,1,091
20230619T102732.A_Curius.B_VC.SCP_01,A4,29,3,"117,120,128"
20230619T102732.A_Curius.B_VC.SCP_01,A5,31,1,131
20230620T101238.A_Curius.B_VC.SCP_01,A1,28,4,"005,007,016,025"
20230620T101238.A_Curius.B_VC.SCP_01,A2,28,4,"033,035,038,056"
20230620T101238.A_Curius.B_VC.SCP_01,A3,30,2,"068,092"
20230620T101238.A_Curius.B_VC.SCP_01,A4,31,1,117
20230620T101238.A_Curius.B_VC.SCP_01,A5,31,1,131
20230621T100721.A_Curius.B_MK.SCP_01,A1,28,4,"005,007,016,025"
20230621T100721.A_Curius.B_MK.SCP_01,A2,28,4,"035,038,056,061"
20230621T100721.A_Curius.B_MK.SCP_01,A3,30,2,"068,092"
20230621T100721.A_Curius.B_MK.SCP_01,A4,29,3,"116,117,127"
20230621T100721.A_Curius.B_MK.SCP_01,A5,30,2,"131,156"
20230622T111856.A_Curius.B_SM.SCP_01,A1,29,3,"005,007,016"
20230622T111856.A_Curius.B_SM.SCP_01,A2,30,2,"038,056"
20230622T111856.A_Curius.B_SM.SCP_01,A3,31,1,092
20230622T111856.A_Curius.B_SM.SCP_01,A4,31,1,117
20230622T111856.A_Curius.B_SM.SCP_01,A5,31,1,129
20230628T101631.A_Curius.B_VC.SCP_01,A1,30,2,"016,020"
20230628T101631.A_Curius.B_VC.SCP_01,A2,28,4,"035,038,045,050"
20230628T101631.A_Curius.B_VC.SCP_01,A3,29,3,"067,090,092"
20230628T101631.A_Curius.B_VC.SCP_01,A4,27,5,"099,113,117,124,128"
20230628T101631.A_Curius.B_VC.SCP_01,A5,29,3,"131,148,156"
20230629T100435.A_Curius.B_VC.SCP_01,A1,25,7,"002,003,005,007,016,020,021"
20230629T100435.A_Curius.B_VC.SCP_01,A2,25,7,"033,034,035,045,051,052,056"
20230629T100435.A_Curius.B_VC.SCP_01,A3,23,9,"065,066,068,073,079,089,092,094,096"
20230629T100435.A_Curius.B_VC.SCP_01,A4,28,4,"099,105,113,117"
20230629T100435.A_Curius.B_VC.SCP_01,A5,24,8,"131,132,139,140,148,154,155,159"
20230703T122644.A_Curius.B_MK.SCP_01,A1,25,7,"002,005,007,008,016,020,025"
20230703T122644.A_Curius.B_MK.SCP_01,A2,27,5,"038,048,054,056,061"
20230703T122644.A_Curius.B_MK.SCP_01,A3,27,5,"067,071,083,092,096"
20230703T122644.A_Curius.B_MK.SCP_01,A4,29,3,"113,115,120"
20230703T122644.A_Curius.B_MK.SCP_01,A5,29,3,"129,131,148"
